Date and Time,Event ID,Level,Source,UtcTime,Process Name,Process Path,Process ID,Parent Process Name,Command Line,User / Integrity Level,Hashes
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:49 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:49.672,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:48 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:48.328,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:48 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:48.328,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:48 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:48.328,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:48 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:48.328,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:48 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:48.328,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:47 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:47.187,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:47 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:47.187,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:47 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:47.187,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:47 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:47.187,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:47 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:47.187,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:46 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:46.359,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:46 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:46.359,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:46 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:46.359,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:46 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:46.359,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:46 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:46.359,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.469,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.453,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.453,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.453,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
11/15/2025 8:06:45 PM,13,Information,Microsoft-Windows-Sysmon,2025-11-15 14:36:45.453,C:\Windows\system32\compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,10296,,,NT AUTHORITY\SYSTEM,
